n,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
1,0.7071,0.7071,0.6872,0.6646,0.6431,0.6233,0.6052,0.5888,0.5739,0.5601,0.5475,0.5359,0.5251,0.515,0.5056,0.4968,0.4886,0.4808,0.4734,0.4643,0.459,0.4542,0.4493,0.445,0.4407,0.4366,0.4328,0.4291,0.4254,
2,NA,0,0.1677,0.2413,0.2806,0.3031,0.3164,0.3244,0.3291,0.3315,0.3325,0.3325,0.3318,0.3306,0.329,0.3273,0.3253,0.3232,0.3211,0.3185,0.3156,0.3126,0.3098,0.3069,0.3043,0.3018,0.2992,0.2968,0.2944,
3,NA,NA,NA,0,0.0875,0.1401,0.1743,0.1976,0.2141,0.226,0.2347,0.2412,0.246,0.2495,0.2521,0.254,0.2553,0.2561,0.2565,0.2578,0.2571,0.2563,0.2554,0.2543,0.2533,0.2522,0.251,0.2499,0.2487,
4,NA,NA,NA,NA,NA,0,0.0565,0.0947,0.1224,0.1429,0.1586,0.1707,0.1802,0.1878,0.1939,0.1988,0.2027,0.2059,0.20135,0.2119,0.2131,0.2139,0.2145,0.2148,0.2151,0.2152,0.2151,0.215,0.2148,
5,NA,NA,NA,NA,NA,NA,NA,0,0.0399,0.0695,0.0922,0.1099,0.124,0.1353,0.1447,0.1524,0.1587,0.1641,0.1686,0.1736,0.3764,0.1787,0.1807,0.1822,0.1836,0.1848,0.1857,0.1864,0.187,
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0303,0.0539,0.0727,0.088,0.1005,0.1109,0.1197,0.1271,0.1334,0.1399,0.1443,0.148,0.1512,0.1539,0.1563,0.1584,0.1601,0.1616,0.163,
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.024,0.0433,0.0593,0.0725,0.0837,0.0932,0.1013,0.1092,0.115,0.1201,0.1245,0.1283,0.1316,0.1346,0.1372,0.1395,0.1415,
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0196,0.0359,0.0496,0.0612,0.0711,0.0804,0.0878,0.0941,0.0997,0.1046,0.1989,0.1128,0.1162,0.1192,0.1219,
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0163,0.0303,0.0422,0.053,0.0618,0.0696,0.0764,0.0823,0.0876,0.0923,0.0965,0.1002,0.1036,
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.014,0.0263,0.0368,0.0459,0.0539,0.061,0.0672,0.0728,0.0778,0.0822,0.0862,
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0122,0.0228,0.0321,0.0403,0.0476,0.054,0.0598,0.065,0.0697,
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0107,0.02,0.0284,0.0358,0.0424,0.0483,0.0537,
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0094,0.0178,0.0253,0.032,0.0381,
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0084,0.0159,0.0227,
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0009,0.0076,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
